especie,longitud,latitud
Panstrongylus geniculatus,-74.981600,6.646400
Panstrongylus geniculatus,-74.950900,6.580600
Panstrongylus geniculatus,-74.950900,6.580600
Panstrongylus geniculatus,-74.984700,6.689600
Panstrongylus geniculatus,-75.446220,8.745200
Panstrongylus geniculatus,75.524190,8.819030
Panstrongylus geniculatus,75.412580,8.863280
Panstrongylus geniculatus,-75.788510,9.318540
Panstrongylus geniculatus,-73.840600,11.258600
Panstrongylus geniculatus,-73.840600,11.258600
Panstrongylus geniculatus,-73.840600,11.258600
Panstrongylus geniculatus,-73.840600,11.258600
Panstrongylus geniculatus,-73.840600,11.258600
Panstrongylus geniculatus,-73.840600,11.258600
Panstrongylus geniculatus,-74.120300,11.145300
Panstrongylus geniculatus,-74.101900,9.923900
Panstrongylus geniculatus,-73.936300,11.010600
Panstrongylus geniculatus,-73.936300,11.010600
Panstrongylus geniculatus,-73.936300,11.010600
Panstrongylus geniculatus,-74.068000,9.137800
Panstrongylus geniculatus,-74.068000,9.137800
Panstrongylus geniculatus,-74.068000,9.137800
Panstrongylus geniculatus,-73.917400,10.506100
Panstrongylus geniculatus,-73.917400,10.506100
Panstrongylus geniculatus,-75.413200,9.280400
Panstrongylus geniculatus,-75.372500,9.491400
Panstrongylus geniculatus,-75.339400,9.498500
Panstrongylus geniculatus,-75.328400,9.512200
Panstrongylus geniculatus,-75.312200,9.269400
Panstrongylus geniculatus,-75.233300,9.526600
Panstrongylus geniculatus,-75.231500,8.644100
Panstrongylus geniculatus,-75.211600,8.521800
Panstrongylus geniculatus,-75.600500,9.917500
Panstrongylus geniculatus,-75.142200,9.327800
Panstrongylus geniculatus,-75.142200,9.327800
Panstrongylus geniculatus,-76.433611,8.857222
Panstrongylus geniculatus,-76.433611,8.857222
Panstrongylus geniculatus,-76.433611,8.857222
Panstrongylus geniculatus,-75.299722,6.981944
Panstrongylus geniculatus,-75.091111,6.541111
Panstrongylus geniculatus,-76.262778,7.003611
Panstrongylus geniculatus,-76.262778,7.003611
Panstrongylus geniculatus,-76.262778,7.003611
Panstrongylus geniculatus,-76.262778,7.003611
Panstrongylus geniculatus,-74.645556,5.870833
Panstrongylus geniculatus,-74.645556,5.870833
Panstrongylus geniculatus,-75.105833,5.968056
Panstrongylus geniculatus,-76.530000,8.763056
Panstrongylus geniculatus,-76.530000,8.763056
Panstrongylus geniculatus,-74.996667,6.045000
Panstrongylus geniculatus,-74.996667,6.045000
Panstrongylus geniculatus,-76.360556,6.315556
Panstrongylus geniculatus,-76.360556,6.315556
Panstrongylus geniculatus,-76.360556,6.315556
Panstrongylus geniculatus,-75.031389,6.297500
Panstrongylus geniculatus,-75.031389,6.297500
Panstrongylus geniculatus,-75.313889,5.712222
Panstrongylus geniculatus,-75.716111,5.667500
Panstrongylus geniculatus,-75.402778,7.588056
Panstrongylus geniculatus,-74.801667,6.773056
Panstrongylus geniculatus,-74.801667,6.773056
Panstrongylus geniculatus,-74.801667,6.773056
Panstrongylus geniculatus,-74.801667,6.773056
Panstrongylus geniculatus,-74.801667,6.773056
Panstrongylus geniculatus,-74.801667,6.773056
Panstrongylus geniculatus,-74.801667,6.773056
Panstrongylus geniculatus,-74.801667,6.773056
Panstrongylus geniculatus,-74.801667,6.773056
Panstrongylus geniculatus,-74.801667,6.773056
Panstrongylus geniculatus,-74.801667,6.773056
Panstrongylus geniculatus,-74.801667,6.773056
Panstrongylus geniculatus,-74.801667,6.773056
Panstrongylus geniculatus,-74.801667,6.773056
Panstrongylus geniculatus,-74.801667,6.773056
Panstrongylus geniculatus,-74.801667,6.773056
Panstrongylus geniculatus,-75.013889,6.601944
Panstrongylus geniculatus,-75.013889,6.601944
Panstrongylus geniculatus,-75.013889,6.601944
Panstrongylus geniculatus,-75.013889,6.601944
Panstrongylus geniculatus,-75.013889,6.601944
Panstrongylus geniculatus,-75.013889,6.601944
Panstrongylus geniculatus,-73.918056,7.379167
Panstrongylus geniculatus,-75.295000,10.606667
Panstrongylus geniculatus,-74.054444,7.964444
Panstrongylus geniculatus,-74.054444,7.964444
Panstrongylus geniculatus,-74.054444,7.964444
Panstrongylus geniculatus,-74.054444,7.964444
Panstrongylus geniculatus,-74.054444,7.964444
Panstrongylus geniculatus,-74.054444,7.964444
Panstrongylus geniculatus,-75.588333,8.414722
Panstrongylus geniculatus,-75.512222,9.149167
Panstrongylus geniculatus,-74.186667,10.521389
Panstrongylus geniculatus,-74.186667,10.521389
Panstrongylus geniculatus,-74.186667,10.521389
Panstrongylus geniculatus,-74.186667,10.521389
Panstrongylus geniculatus,-74.287500,10.997222
Panstrongylus geniculatus,-70.761667,7.090278
Panstrongylus geniculatus,-71.435556,7.030278
Panstrongylus geniculatus,-71.881667,6.963889
Panstrongylus geniculatus,-71.738889,6.462222
Panstrongylus geniculatus,-70.208611,6.301944
Panstrongylus geniculatus,-71.775556,6.792222
Panstrongylus geniculatus,-74.918333,10.799722
