especie,longitud,latitud
Rhodnius prolixus,-72.180380,4.752014
Rhodnius prolixus,-72.180380,4.752014
Rhodnius prolixus,-72.180380,4.752014
Rhodnius prolixus,-72.367246,4.796547
Rhodnius prolixus,-72.245852,4.789246
Rhodnius prolixus,-72.245852,4.789246
Rhodnius prolixus,-72.245852,4.789246
Rhodnius prolixus,-72.245852,4.789246
Rhodnius prolixus,-72.245852,4.789246
Rhodnius prolixus,-72.245852,4.789246
Rhodnius prolixus,-72.245852,4.789246
Rhodnius prolixus,-72.221699,4.723454
Rhodnius prolixus,-72.221699,4.723454
Rhodnius prolixus,-72.221699,4.723454
Rhodnius prolixus,-72.367064,4.862410
Rhodnius prolixus,-72.367064,4.862410
Rhodnius prolixus,-72.367064,4.862410
Rhodnius prolixus,-72.367064,4.862410
Rhodnius prolixus,-72.367064,4.862410
Rhodnius prolixus,-72.367064,4.862410
Rhodnius prolixus,-72.367064,4.862410
Rhodnius prolixus,-72.367064,4.862410
Rhodnius prolixus,-72.367064,4.862410
Rhodnius prolixus,-72.367064,4.862410
Rhodnius prolixus,-72.367064,4.862410
Rhodnius prolixus,-72.367064,4.862410
Rhodnius prolixus,-72.367064,4.862410
Rhodnius prolixus,-72.367064,4.862410
Rhodnius prolixus,-72.239722,4.861111
Rhodnius prolixus,-72.239722,4.861111
Rhodnius prolixus,-72.239722,4.861111
Rhodnius prolixus,-72.239722,4.861111
Rhodnius prolixus,-72.239722,4.861111
Rhodnius prolixus,-72.239722,4.861111
Rhodnius prolixus,-72.239722,4.861111
Rhodnius prolixus,-72.239722,4.861111
Rhodnius prolixus,-72.214491,4.854947
Rhodnius prolixus,-72.214491,4.854947
Rhodnius prolixus,-72.214491,4.854947
Rhodnius prolixus,-72.214491,4.854947
Rhodnius prolixus,-72.154563,4.872336
Rhodnius prolixus,-72.078978,4.659826
Rhodnius prolixus,-71.989784,4.644923
Rhodnius prolixus,-71.989784,4.644923
Rhodnius prolixus,-72.287275,4.818043
Rhodnius prolixus,-72.287275,4.818043
Rhodnius prolixus,-72.287275,4.818043
Rhodnius prolixus,-72.287275,4.818043
Rhodnius prolixus,-72.287275,4.818043
Rhodnius prolixus,-72.287275,4.818043
Rhodnius prolixus,-72.287275,4.818043
Rhodnius prolixus,-72.287275,4.818043
Rhodnius prolixus,-72.287275,4.818043
Rhodnius prolixus,-72.287275,4.818043
Rhodnius prolixus,-72.287275,4.818043
Rhodnius prolixus,-72.867772,4.956445
Rhodnius prolixus,-72.867772,4.956445
Rhodnius prolixus,-72.867772,4.956445
Rhodnius prolixus,-72.867772,4.956445
Rhodnius prolixus,-72.867772,4.956445
Rhodnius prolixus,-72.747618,4.724905
Rhodnius prolixus,-72.747618,4.724905
Rhodnius prolixus,-72.747618,4.724905
Rhodnius prolixus,-72.747618,4.724905
Rhodnius prolixus,-72.941235,4.867983
Rhodnius prolixus,-72.941235,4.867983
Rhodnius prolixus,-72.193120,5.693163
Rhodnius prolixus,-72.193120,5.693163
Rhodnius prolixus,-72.193120,5.693163
Rhodnius prolixus,-72.193120,5.693163
Rhodnius prolixus,-72.193120,5.693163
Rhodnius prolixus,-72.193120,5.693163
Rhodnius prolixus,-72.193120,5.693163
Rhodnius prolixus,-72.193120,5.693163
Rhodnius prolixus,-72.193120,5.693163
Rhodnius prolixus,-72.193120,5.693163
Rhodnius prolixus,-72.193120,5.693163
Rhodnius prolixus,-72.193120,5.693163
Rhodnius prolixus,-72.193120,5.693163
Rhodnius prolixus,-72.193120,5.693163
Rhodnius prolixus,-72.193120,5.693163
Rhodnius prolixus,-72.193120,5.693163
Rhodnius prolixus,-72.193120,5.693163
Rhodnius prolixus,-72.141412,5.699724
Rhodnius prolixus,-72.141412,5.699724
Rhodnius prolixus,-72.290640,5.571242
Rhodnius prolixus,-72.199389,5.652936
Rhodnius prolixus,-72.112651,5.568070
Rhodnius prolixus,-72.259903,5.576820
Rhodnius prolixus,-72.007780,5.556778
Rhodnius prolixus,-72.010267,5.598366
Rhodnius prolixus,-72.010267,5.598366
Rhodnius prolixus,-72.010267,5.598366
Rhodnius prolixus,-72.010267,5.598366
Rhodnius prolixus,-72.010267,5.598366
Rhodnius prolixus,-72.117784,5.412864
Rhodnius prolixus,-72.117784,5.412864
Rhodnius prolixus,-72.007780,5.556778
Rhodnius prolixus,-72.007780,5.556778
Rhodnius prolixus,-72.007780,5.556778
Rhodnius prolixus,-72.007780,5.556778
Rhodnius prolixus,-72.010267,5.598366
Rhodnius prolixus,-72.010267,5.598366
Rhodnius prolixus,-72.010267,5.598366
Rhodnius prolixus,-72.010267,5.598366
Rhodnius prolixus,-72.010267,5.598366
Rhodnius prolixus,-72.010267,5.598366
Rhodnius prolixus,-72.010267,5.598366
Rhodnius prolixus,-72.010267,5.598366
Rhodnius prolixus,-72.161084,5.435193
Rhodnius prolixus,-72.161084,5.435193
Rhodnius prolixus,-71.963590,5.478594
Rhodnius prolixus,-71.963590,5.478594
Rhodnius prolixus,-72.259903,5.576820
Rhodnius prolixus,-72.259903,5.576820
Rhodnius prolixus,-72.259903,5.576820
Rhodnius prolixus,-72.259903,5.576820
Rhodnius prolixus,-72.259903,5.576820
Rhodnius prolixus,-72.259903,5.576820
Rhodnius prolixus,-72.259903,5.576820
Rhodnius prolixus,-72.259903,5.576820
Rhodnius prolixus,-72.259903,5.576820
Rhodnius prolixus,-72.259903,5.576820
Rhodnius prolixus,-72.259903,5.576820
Rhodnius prolixus,-72.168780,5.625635
Rhodnius prolixus,-72.168780,5.625635
Rhodnius prolixus,-72.134987,5.669191
Rhodnius prolixus,-72.134987,5.669191
Rhodnius prolixus,-72.134987,5.669191
Rhodnius prolixus,-72.205134,5.506471
Rhodnius prolixus,-72.184172,5.537487
